outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_106_91002_20120411_201622_inLine.sph	91002	20120411	201622	91002	inLine	Southern	M	HOME_OFFICE_LANDLINE	31	PLDT	PLDT
BABEL_BP_106_81096_20120604_122742_inLine.sph	81096	20120604	122742	81096	inLine	Southern	F	CAR_KIT	18	GLOBE	Samsung
BABEL_BP_106_95034_20120222_020622_inLine.sph	95034	20120222	020622	95034	inLine	Central	M	PUBLIC_PLACE	35	GLOBE	Nokia
BABEL_BP_106_95034_20120222_020622_outLine.sph	95034	20120222	020622	95034	outLine	Central	M	HOME_OFFICE_MOBILE	16	SUN	Nokia
BABEL_BP_106_40439_20120405_122042_inLine.sph	40439	20120405	122042	40439	inLine	Southern	M	VEHICLE	34	GLOBE	Myphone
BABEL_BP_106_91401_20120131_014627_outLine.sph	91401	20120131	014627	91401	outLine	Central	M	PUBLIC_PLACE	17	SMART	Cherry
BABEL_BP_106_91401_20120131_014626_inLine.sph	91401	20120131	014626	91401	inLine	Central	M	PUBLIC_PLACE	17	SMART	Qbest
BABEL_BP_106_50409_20120319_185818_outLine.sph	50409	20120319	185818	50409	outLine	Northern	F	PUBLIC_PLACE	33	SMART	Nokia
BABEL_BP_106_50409_20120319_185818_inLine.sph	50409	20120319	185818	50409	inLine	Northern	F	HOME_OFFICE_LANDLINE	32	PLDT	PLDT
BABEL_BP_106_34961_20120130_011357_inLine.sph	34961	20120130	011357	34961	inLine	Central	M	PUBLIC_PLACE	19	SMART	Myphone
BABEL_BP_106_34961_20120130_011357_outLine.sph	34961	20120130	011357	34961	outLine	Central	F	PUBLIC_PLACE	16	SMART	Nokia
BABEL_BP_106_38956_20120127_010500_inLine.sph	38956	20120127	010500	38956	inLine	Southern	F	PUBLIC_PLACE	51	GLOBE	Samsung
BABEL_BP_106_38956_20120127_010500_outLine.sph	38956	20120127	010500	38956	outLine	Central	F	HOME_OFFICE_MOBILE	52	SUN	Nokia
BABEL_BP_106_76252_20120318_131223_outLine.sph	76252	20120318	131223	76252	outLine	Central	M	PUBLIC_PLACE	23	SMART	Cherry
BABEL_BP_106_60693_20120414_201244_inLine.sph	60693	20120414	201244	60693	inLine	Southern	M	VEHICLE	38	GLOBE	Nokia
BABEL_BP_106_60693_20120331_185728_inLine.sph	60693	20120331	185728	60693	inLine	Southern	M	VEHICLE	38	GLOBE	Nokia
BABEL_BP_106_66964_20120416_132128_inLine.sph	66964	20120416	132128	66964	inLine	Northern	M	HOME_OFFICE_LANDLINE	56	PLDT	PLDT
BABEL_BP_106_70285_20120128_211036_outLine.sph	70285	20120128	211036	70285	outLine	Central	M	STREET	27	TALK_N_TEXT	Nokia
BABEL_BP_106_16406_20120309_161540_inLine.sph	16406	20120309	161540	16406	inLine	Central	F	HOME_OFFICE_MOBILE	35	GLOBE	Nokia
BABEL_BP_106_58108_20120411_180115_inLine.sph	58108	20120411	180115	58108	inLine	Northern	M	HOME_OFFICE_LANDLINE	31	PLDT	PLDT
BABEL_BP_106_32334_20120304_193216_outLine.sph	32334	20120304	193216	32334	outLine	Central	M	HOME_OFFICE_MOBILE	30	GLOBE	Myphone
BABEL_BP_106_93506_20120501_114215_outLine.sph	93506	20120501	114215	93506	outLine	Southern	M	HOME_OFFICE_LANDLINE	20	PLDT	PLDT
BABEL_BP_106_17093_20120217_180258_outLine.sph	17093	20120217	180258	17093	outLine	Southern	M	PUBLIC_PLACE	56	GLOBE	Samsung
BABEL_BP_106_55204_20120330_230730_outLine.sph	55204	20120330	230730	55204	outLine	Northern	F	HOME_OFFICE_MOBILE	29	SMART	Nokia
BABEL_BP_106_10545_20120315_185249_inLine.sph	10545	20120315	185249	10545	inLine	Southern	F	PUBLIC_PLACE	31	GLOBE	Nokia
BABEL_BP_106_10545_20120315_185249_outLine.sph	10545	20120315	185249	10545	outLine	Southern	F	PUBLIC_PLACE	42	SMART	Nokia
BABEL_BP_106_80638_20120411_224029_inLine.sph	80638	20120411	224029	80638	inLine	Southern	F	VEHICLE	32	GLOBE	Nokia
BABEL_BP_106_46603_20120227_192836_outLine.sph	46603	20120227	192836	46603	outLine	Central	F	PUBLIC_PLACE	27	GLOBE	Samsung
BABEL_BP_106_46603_20120227_192836_inLine.sph	46603	20120227	192836	46603	inLine	Central	F	STREET	29	GLOBE	Myphone
BABEL_BP_106_49689_20120225_152557_outLine.sph	49689	20120225	152557	49689	outLine	Central	M	HOME_OFFICE_LANDLINE	21	PLDT	PLDT
BABEL_BP_106_49689_20120225_153748_outLine.sph	49689	20120225	153748	49689	outLine	Central	M	HOME_OFFICE_LANDLINE	21	PLDT	PLDT
BABEL_BP_106_23878_20120209_170350_outLine.sph	23878	20120209	170350	23878	outLine	Central	F	HOME_OFFICE_MOBILE	62	GLOBE	Nokia
BABEL_BP_106_23878_20120209_170350_inLine.sph	23878	20120209	170350	23878	inLine	Central	F	PUBLIC_PLACE	52	GLOBE	Nokia
BABEL_BP_106_33742_20120229_020923_inLine.sph	33742	20120229	020923	33742	inLine	Central	M	PUBLIC_PLACE	29	GLOBE	Nokia
BABEL_BP_106_33742_20120229_020923_outLine.sph	33742	20120229	020923	33742	outLine	Southern	F	HOME_OFFICE_MOBILE	27	GLOBE	Samsung
BABEL_BP_106_35179_20120225_063734_outLine.sph	35179	20120225	063734	35179	outLine	Central	M	STREET	25	GLOBE	Samsung
BABEL_BP_106_35179_20120225_063734_inLine.sph	35179	20120225	063734	35179	inLine	Central	M	HOME_OFFICE_LANDLINE	18	PLDT	PLDT
BABEL_BP_106_72858_20120605_123842_inLine.sph	72858	20120605	123842	72858	inLine	Southern	F	CAR_KIT	37	GLOBE	Samsung
BABEL_BP_106_22696_20120308_195105_inLine.sph	22696	20120308	195105	22696	inLine	Southern	F	PUBLIC_PLACE	30	GLOBE	Nokia
BABEL_BP_106_22696_20120308_195105_outLine.sph	22696	20120308	195105	22696	outLine	Southern	F	HOME_OFFICE_MOBILE	38	SMART	LG
BABEL_BP_106_77244_20120317_154534_inLine.sph	77244	20120317	154534	77244	inLine	Northern	F	HOME_OFFICE_MOBILE	38	GLOBE	Samsung
BABEL_BP_106_77244_20120317_160037_inLine.sph	77244	20120317	160037	77244	inLine	Northern	F	HOME_OFFICE_MOBILE	38	GLOBE	Samsung
BABEL_BP_106_68111_20120419_232912_inLine.sph	68111	20120419	232912	68111	inLine	Southern	M	VEHICLE	35	GLOBE	Nokia
BABEL_BP_106_48188_20120307_034039_outLine.sph	48188	20120307	034039	48188	outLine	Central	M	PUBLIC_PLACE	23	GLOBE	Nokia
BABEL_BP_106_11233_20120407_231020_outLine.sph	11233	20120407	231020	11233	outLine	Southern	F	STREET	38	GLOBE	Nokia
BABEL_BP_106_11233_20120407_231020_inLine.sph	11233	20120407	231020	11233	inLine	Southern	F	STREET	41	GLOBE	Nokia
BABEL_BP_106_36268_20120209_180615_inLine.sph	36268	20120209	180615	36268	inLine	Central	M	HOME_OFFICE_MOBILE	47	SUN	Samsung
BABEL_BP_106_36268_20120209_180615_outLine.sph	36268	20120209	180615	36268	outLine	Central	M	PUBLIC_PLACE	60	SUN	Nokia
BABEL_BP_106_52154_20120312_004528_outLine.sph	52154	20120312	004528	52154	outLine	Southern	F	HOME_OFFICE_MOBILE	21	GLOBE	Nokia
BABEL_BP_106_91668_20120312_231623_inLine.sph	91668	20120312	231623	91668	inLine	Central	M	HOME_OFFICE_MOBILE	31	GLOBE	Nokia
BABEL_BP_106_91668_20120312_234357_inLine.sph	91668	20120312	234357	91668	inLine	Central	M	HOME_OFFICE_MOBILE	31	GLOBE	Nokia
BABEL_BP_106_66188_20120316_230006_outLine.sph	66188	20120316	230006	66188	outLine	Northern	F	PUBLIC_PLACE	32	GLOBE	Samsung
BABEL_BP_106_66188_20120316_230006_inLine.sph	66188	20120316	230006	66188	inLine	Northern	F	HOME_OFFICE_MOBILE	33	SMART	Myphone
BABEL_BP_106_82766_20120211_165522_outLine.sph	82766	20120211	165522	82766	outLine	Central	M	HOME_OFFICE_MOBILE	37	GLOBE	Nokia
BABEL_BP_106_82766_20120211_165522_inLine.sph	82766	20120211	165522	82766	inLine	Central	M	HOME_OFFICE_MOBILE	34	SUN	Cherry
BABEL_BP_106_91975_20120318_202137_inLine.sph	91975	20120318	202137	91975	inLine	Central	F	PUBLIC_PLACE	50	GLOBE	LG
BABEL_BP_106_12248_20120304_225237_inLine.sph	12248	20120304	225237	12248	inLine	Central	M	PUBLIC_PLACE	20	SUN	Samsung
BABEL_BP_106_73250_20120410_003448_inLine.sph	73250	20120410	003448	73250	inLine	Southern	M	STREET	36	GLOBE	Nokia
BABEL_BP_106_73250_20120410_001928_inLine.sph	73250	20120410	001928	73250	inLine	Southern	M	STREET	36	GLOBE	Nokia
BABEL_BP_106_42183_20120327_190153_inLine.sph	42183	20120327	190153	42183	inLine	Northern	M	STREET	52	GLOBE	Nokia
BABEL_BP_106_42183_20120323_223118_inLine.sph	42183	20120323	223118	42183	inLine	Northern	M	STREET	52	GLOBE	Nokia
BABEL_BP_106_89417_20120131_014042_outLine.sph	89417	20120131	014042	89417	outLine	Central	M	PUBLIC_PLACE	30	SUN	Cherry
BABEL_BP_106_89417_20120131_014042_inLine.sph	89417	20120131	014042	89417	inLine	Central	M	HOME_OFFICE_MOBILE	21	SUN	Cherry
BABEL_BP_106_32890_20120221_193416_inLine.sph	32890	20120221	193416	32890	inLine	Central	F	HOME_OFFICE_MOBILE	31	GLOBE	Samsung
BABEL_BP_106_32890_20120221_193417_outLine.sph	32890	20120221	193417	32890	outLine	Northern	F	PUBLIC_PLACE	56	GLOBE	Samsung
BABEL_BP_106_22910_20120129_213616_inLine.sph	22910	20120129	213616	22910	inLine	Central	F	PUBLIC_PLACE	17	SMART	Nokia
BABEL_BP_106_22910_20120129_213616_outLine.sph	22910	20120129	213616	22910	outLine	Northern	F	HOME_OFFICE_MOBILE	17	SMART	Nokia
BABEL_BP_106_71310_20120221_005007_outLine.sph	71310	20120221	005007	71310	outLine	Central	M	HOME_OFFICE_MOBILE	20	GLOBE	Nokia
BABEL_BP_106_71310_20120221_005007_inLine.sph	71310	20120221	005007	71310	inLine	Central	M	HOME_OFFICE_MOBILE	20	GLOBE	Samsung
BABEL_BP_106_87210_20120212_183156_outLine.sph	87210	20120212	183156	87210	outLine	Northern	F	HOME_OFFICE_MOBILE	18	SMART	Nokia
BABEL_BP_106_87210_20120212_183156_inLine.sph	87210	20120212	183156	87210	inLine	Central	M	HOME_OFFICE_MOBILE	19	GLOBE	Nokia
BABEL_BP_106_20320_20120206_212251_outLine.sph	20320	20120206	212251	20320	outLine	Central	F	HOME_OFFICE_MOBILE	26	SMART	Nokia
BABEL_BP_106_20320_20120206_212251_inLine.sph	20320	20120206	212251	20320	inLine	Central	F	HOME_OFFICE_MOBILE	60	GLOBE	Samsung
BABEL_BP_106_20740_20120229_234935_inLine.sph	20740	20120229	234935	20740	inLine	Central	M	PUBLIC_PLACE	18	SMART	Nokia
BABEL_BP_106_58746_20120308_211819_outLine.sph	58746	20120308	211819	58746	outLine	Southern	M	HOME_OFFICE_MOBILE	52	GLOBE	Nokia
BABEL_BP_106_58746_20120308_211819_inLine.sph	58746	20120308	211819	58746	inLine	Southern	F	HOME_OFFICE_MOBILE	33	SUN	Samsung
BABEL_BP_106_74986_20120418_222615_inLine.sph	74986	20120418	222615	74986	inLine	Northern	M	VEHICLE	32	GLOBE	Nokia
BABEL_BP_106_87564_20120225_141938_outLine.sph	87564	20120225	141938	87564	outLine	Southern	F	HOME_OFFICE_MOBILE	17	GLOBE	Nokia
BABEL_BP_106_87564_20120225_141938_inLine.sph	87564	20120225	141938	87564	inLine	Central	F	HOME_OFFICE_LANDLINE	38	PLDT	PLDT
BABEL_BP_106_75036_20120224_163823_outLine.sph	75036	20120224	163823	75036	outLine	Central	M	HOME_OFFICE_MOBILE	20	GLOBE	Blackberry
BABEL_BP_106_75036_20120224_163823_inLine.sph	75036	20120224	163823	75036	inLine	Central	M	PUBLIC_PLACE	37	SMART	Nokia
BABEL_BP_106_91905_20120225_044624_inLine.sph	91905	20120225	044624	91905	inLine	Central	M	HOME_OFFICE_LANDLINE	21	PLDT	PLDT
BABEL_BP_106_91905_20120225_044624_outLine.sph	91905	20120225	044624	91905	outLine	Central	M	PUBLIC_PLACE	27	GLOBE	Samsung
BABEL_BP_106_59071_20120228_033845_inLine.sph	59071	20120228	033845	59071	inLine	Central	M	PUBLIC_PLACE	26	SMART	Nokia
BABEL_BP_106_59071_20120228_033845_outLine.sph	59071	20120228	033845	59071	outLine	Central	M	PUBLIC_PLACE	18	SMART	Nokia
BABEL_BP_106_18903_20120317_121505_inLine.sph	18903	20120317	121505	18903	inLine	Northern	F	PUBLIC_PLACE	40	GLOBE	Samsung
BABEL_BP_106_48418_20120407_165729_inLine.sph	48418	20120407	165729	48418	inLine	Southern	M	VEHICLE	30	GLOBE	Myphone
BABEL_BP_106_57638_20120414_164822_inLine.sph	57638	20120414	164822	57638	inLine	Northern	M	VEHICLE	40	GLOBE	Nokia
BABEL_BP_106_41327_20120128_163042_inLine.sph	41327	20120128	163042	41327	inLine	Central	F	PUBLIC_PLACE	16	SMART	Nokia
BABEL_BP_106_41327_20120128_163042_outLine.sph	41327	20120128	163042	41327	outLine	Central	F	HOME_OFFICE_MOBILE	16	GLOBE	Nokia
BABEL_BP_106_41710_20120410_205005_outLine.sph	41710	20120410	205005	41710	outLine	Southern	F	STREET	55	SMART	Nokia
BABEL_BP_106_51727_20120229_000250_inLine.sph	51727	20120229	000250	51727	inLine	Central	F	HOME_OFFICE_LANDLINE	18	PLDT	PLDT
BABEL_BP_106_51727_20120229_000250_outLine.sph	51727	20120229	000250	51727	outLine	Central	F	HOME_OFFICE_MOBILE	18	SMART	Nokia
BABEL_BP_106_12963_20120309_184450_inLine.sph	12963	20120309	184450	12963	inLine	Central	F	HOME_OFFICE_MOBILE	35	GLOBE	Nokia
BABEL_BP_106_12963_20120309_184450_outLine.sph	12963	20120309	184450	12963	outLine	Central	F	HOME_OFFICE_MOBILE	30	SUN	Nokia
BABEL_BP_106_26684_20120211_170412_inLine.sph	26684	20120211	170412	26684	inLine	Northern	F	HOME_OFFICE_LANDLINE	20	PLDT	PLDT
BABEL_BP_106_26684_20120211_170412_outLine.sph	26684	20120211	170412	26684	outLine	Southern	F	HOME_OFFICE_MOBILE	19	SUN	Nokia
